iShares Russell 1000 ETF
Fund Holdings as of,"Feb 25, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"122,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"QCOM","QUALCOMM INC","Information Technology","Equity","115,098,642.40","0.25","115,098,642.40","789,320.00","145.82","United States","NASDAQ","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","112,444,014.20","0.24","112,444,014.20","464,261.00","242.20","United States","NASDAQ","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","112,396,274.55","0.24","112,396,274.55","4,148,995.00","27.09","United States","NYSE","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","111,320,621.10","0.24","111,320,621.10","178,510.00","623.61","United States","NYSE","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","107,705,111.88","0.23","107,705,111.88","409,494.00","263.02","United States","NYSE","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","107,061,775.09","0.23","107,061,775.09","1,470,023.00","72.83","United States","NYSE","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","106,951,724.31","0.23","106,951,724.31","286,327.00","373.53","United States","NYSE","USD","1.00","USD","-"
"WELL","WELLTOWER INC","Real Estate","Equity","104,538,792.75","0.22","104,538,792.75","501,987.00","208.25","United States","NYSE","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","100,441,220.19","0.22","100,441,220.19","913,019.00","110.01","United States","NYSE","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","100,217,594.40","0.21","100,217,594.40","802,704.00","124.85","United States","NYSE","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","100,153,478.73","0.21","100,153,478.73","753,657.00","132.89","United States","NYSE","USD","1.00","USD","-"
